# chain	redshift	v1_end_time	phi_orb	f_ref	psdscaleflag	mtotal	logll1	signalmodelflag	logl	loglh1	m1_source	sky_frame	mc_source	deltalogl	af	l1v1_delay	mf_source	l1h1_delay	m1	ra	l1_end_time	m2	lal_pnorder	m2_source	v1l1_delay	psi	v1h1_delay	costheta_jn	a2z	time	a1	a2	optimal_snr	alpha	post	a1z	cycle	distance	mf	h1l1_delay	mc	theta_jn	h1v1_delay	logprior	flow	t0	chi_eff	q	mtotal_source	h1_end_time	eta	lal_approximant	azimuth	lal_amporder	dec	matched_filter_snr
1.000000000000000000e+00 3.612864935741709749e-01 -9.264350371297962183e-03 3.726898854797898952e+00 2.000000000000000000e+01 0.000000000000000000e+00 3.558292842107641718e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.150378371233328778e+01 1.000000000000000000e+00 8.235752192326746268e+00 0.000000000000000000e+00 5.489133726316315354e-01 -1.629717190168163479e-02 2.557693346200854023e+01 -1.709054782027780856e-03 2.927281032833955265e+01 3.334889374419752084e+00 7.032821530383672609e-03 6.310118092736860973e+00 -1.000000000000000000e+00 4.635407845830542328e+00 1.629717190168163479e-02 4.337606765668530207e-01 1.458811711965385394e-02 9.113826278915090340e-01 -3.185486641952500197e-01 -1.417356608811599916e-02 2.099851840748580001e-01 3.185486641952500197e-01 0.000000000000000000e+00 1.742321508268085850e+00 3.242305954726542578e+13 2.099851840748580001e-01 3.461000000000000000e+05 1.983434143776084511e+03 3.481753406887749236e+01 1.709054782027780856e-03 1.121121822383826760e+01 4.241651829035866794e-01 -1.458811711965385394e-02 3.110989100000000107e+01 2.000000000000000000e+01 5.323774309881000068e-03 1.162573447265484589e-01 2.155624288190710058e-01 2.613919155816383366e+01 5.323766748355891754e-03 1.458876510843869767e-01 4.600000000000000000e+01 9.545732735504999789e-02 0.000000000000000000e+00 -5.844587333720999700e-01 0.000000000000000000e+00
1.000000000000000000e+00 3.613574812867327846e-01 8.342356755466283358e-02 1.969810628304357047e+00 2.000000000000000000e+01 0.000000000000000000e+00 3.559260263029181459e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.109579376566490083e+01 1.000000000000000000e+00 8.569796566619134026e+00 0.000000000000000000e+00 6.265752417743557512e-01 1.720245701362795032e-02 2.547671703752039107e+01 -3.466361892572572545e-03 2.871891666656992825e+01 5.797904010570605671e+00 6.622111054103488326e-02 6.873685963721888115e+00 -1.000000000000000000e+00 5.049141065596519873e+00 -1.720245701362795032e-02 1.208715649598799957e-01 -2.066881890620052287e-02 -8.490661566750429268e-01 -6.739487534740250529e-01 8.360145207333599671e-02 3.346978810065819876e-01 6.739487534740250529e-01 0.000000000000000000e+00 1.924303723835158797e+00 3.001030684239010156e+13 3.346978810065819876e-01 5.710000000000000000e+04 1.983889889070479740e+03 3.468291933765355139e+01 3.466361892572572545e-03 1.166655666907231392e+01 2.585011418120081839e+00 2.066881890620052287e-02 3.103256199999999865e+01 2.000000000000000000e+01 6.275474480152599954e-02 1.399068373225751394e-01 2.393434976509110079e-01 2.614493483126141626e+01 6.275474864846231071e-02 1.558253992245544062e-01 4.600000000000000000e+01 3.406867146098611077e+00 0.000000000000000000e+00 7.102766758349150500e-01 0.000000000000000000e+00
1.000000000000000000e+00 3.504319342629092504e-01 -1.175195949711522886e-01 3.424868324401439956e-01 2.000000000000000000e+01 0.000000000000000000e+00 3.414402509465981694e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.085604185890347750e+01 1.000000000000000000e+00 7.919174963348045715e+00 0.000000000000000000e+00 5.756453770171676698e-01 -1.973765089808318662e-02 2.472969439917686074e+01 2.921347427936163421e-03 2.816466494858722314e+01 2.670113817552686175e+00 -9.778194407306910196e-02 5.979360146072591142e+00 -1.000000000000000000e+00 4.427739002881502017e+00 1.973765089808318662e-02 2.041581054788761840e+00 2.265899832601935004e-02 -7.421359769714109822e-01 -7.385293839028940210e-01 -1.152484974245859967e-01 2.746730590965679730e-01 7.385293839028940210e-01 0.000000000000000000e+00 1.274728848536593517e+00 2.827570298374728516e+13 2.746730590965679730e-01 2.661000000000000000e+05 1.914009837009238936e+03 3.339576904121103951e+01 -2.921347427936163421e-03 1.069430676352050469e+01 2.407047926939587690e+00 -2.265899832601935004e-02 3.097302399999999878e+01 2.000000000000000000e+01 -9.486060055967800164e-02 9.723931217368692037e-02 2.123000631105509961e-01 2.528378086178497952e+01 -9.486059664513293854e-02 1.444540983082659158e-01 4.600000000000000000e+01 3.937399958507880049e-01 0.000000000000000000e+00 -5.761388116804789794e-01 0.000000000000000000e+00
1.000000000000000000e+00 3.558565943407732135e-01 -3.543914715175219832e-02 4.450498115587650183e+00 2.000000000000000000e+01 0.000000000000000000e+00 3.752923768867942300e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.191316297173273142e+01 1.000000000000000000e+00 9.386968513477548015e+00 0.000000000000000000e+00 6.425081585978058563e-01 2.497615624114083582e-02 2.690361044368792065e+01 -1.381833970439623471e-03 2.971110651808787750e+01 5.581197694309270041e+00 -6.041530339289303414e-02 7.818131170591544610e+00 -1.000000000000000000e+00 5.766193270898810397e+00 -2.497615624114083582e-02 2.657288821392029821e-01 -2.635799021158045929e-02 7.590820820161300331e-01 -3.020930008784979970e-01 -5.248213935661000251e-02 3.257334231183460216e-01 3.020930008784979970e-01 0.000000000000000000e+00 1.709243738346790442e+00 2.790087036088680469e+13 3.257334231183460216e-01 4.649000000000000000e+05 1.948639860697735003e+03 3.647743763164956476e+01 1.381833970439623471e-03 1.272738315986773827e+01 7.088943965476126596e-01 2.635799021158045929e-02 3.095967900000000128e+01 2.000000000000000000e+01 -6.179714154780700103e-02 1.949439470333744762e-01 2.631383373699640038e-01 2.767935624263154182e+01 -6.179713736333265761e-02 1.649234051982344795e-01 4.600000000000000000e+01 4.382763445389966428e+00 0.000000000000000000e+00 -2.346991281769690019e-01 0.000000000000000000e+00
2.000000000000000000e+00 3.454571621406423709e-01 -7.365541747410256357e-02 3.316238374154298896e+00 2.000000000000000000e+01 0.000000000000000000e+00 3.596566261632623451e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.167392022899796089e+01 1.000000000000000000e+00 8.679769539461304362e+00 0.000000000000000000e+00 5.841997580217328512e-01 -6.500349250167736237e-03 2.609477425177120224e+01 -8.100700801142460272e-03 2.916133120377025634e+01 4.082558284486231592e+00 -6.715506822393482733e-02 6.804331412555976399e+00 -1.000000000000000000e+00 5.057263511630637254e+00 6.500349250167736237e-03 1.852626480421778910e+00 -1.600351550974724035e-03 6.388551456387270289e-01 -4.427351759340780180e-01 -6.415160778052700352e-02 2.537011268134199971e-01 4.427351759340780180e-01 0.000000000000000000e+00 2.513297709497440913e+00 2.640427381736685938e+13 2.537011268134199971e-01 4.210000000000000000e+04 1.882367405265231355e+03 3.510940091148878395e+01 8.100700801142460272e-03 1.167825809259839787e+01 8.777871067493613344e-01 1.600351550974724035e-03 3.090454700000000088e+01 2.000000000000000000e+01 -7.525577416138599929e-02 1.219425808307853243e-01 2.333340465498449923e-01 2.673118374062859814e+01 -7.525576902507728760e-02 1.533969313478395768e-01 4.600000000000000000e+01 2.300164019522271897e+00 0.000000000000000000e+00 1.088215653420467000e+00 0.000000000000000000e+00
2.000000000000000000e+00 3.424639655006936900e-01 6.866136033610480138e-02 5.946441119455685431e+00 2.000000000000000000e+01 0.000000000000000000e+00 3.655805457620747489e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.214245425407609957e+01 1.000000000000000000e+00 8.792850162406173453e+00 0.000000000000000000e+00 7.463765294345112711e-01 -8.862016235579014967e-03 2.641078642092572082e+01 4.264589900082230156e-03 2.972544694384470176e+01 1.513292315174258107e+00 7.752337657168381635e-02 6.832607632362773131e+00 -1.000000000000000000e+00 5.089602259688543739e+00 8.862016235579014967e-03 4.566136394200990267e-01 1.312660613566124512e-02 -2.069576475463680287e-01 -3.580003028098560081e-01 8.810288490047299415e-02 5.586960307774090362e-01 3.580003028098560081e-01 0.000000000000000000e+00 1.130826971337516085e+00 2.633026094642301172e+13 5.586960307774090362e-01 6.205000000000000000e+05 1.863382529202209753e+03 3.545552907062781145e+01 -4.264589900082230156e-03 1.180408449707720919e+01 1.779260580797909386e+00 -1.312660613566124512e-02 3.090174000000000021e+01 2.000000000000000000e+01 8.178797193217900163e-02 3.873678121937088048e-01 2.298571875225449979e-01 2.723205651376464331e+01 8.178796647176604651e-02 1.519668009790825780e-01 4.600000000000000000e+01 2.144919700943725971e+00 0.000000000000000000e+00 6.027717239868649601e-01 0.000000000000000000e+00
1.000000000000000000e+00 3.634533182766017112e-01 2.226498532063812125e-02 3.993189812652902848e+00 2.000000000000000000e+01 0.000000000000000000e+00 3.964845311308875608e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.172199595470554812e+01 1.000000000000000000e+00 1.070184535412942139e+01 0.000000000000000000e+00 8.247187510712263858e-01 -8.345573288787253019e-03 2.773778666898522971e+01 7.566053252181258182e-03 2.961692746403419818e+01 1.502870565619979892e+00 3.061055860942537427e-02 1.003152564905455613e+01 -1.000000000000000000e+00 7.357439755791826741e+00 8.345573288787253019e-03 4.488399227729559793e-01 1.591162654096851120e-02 -1.760327904485169404e-01 -2.424310397411879869e-01 3.781488572317200092e-02 6.870630639605219692e-01 2.424310397411879869e-01 0.000000000000000000e+00 7.141738323442909930e-01 2.604182460159858984e+13 6.870630639605219692e-01 5.271000000000000000e+05 1.997355286970932639e+03 3.781917727547639885e+01 -7.566053252181258182e-03 1.459146655977079376e+01 1.747751170779002994e+00 -1.591162654096851120e-02 3.089072499999999977e+01 2.000000000000000000e+01 3.817661148554699763e-02 4.518901073931305135e-01 3.387091946400079823e-01 2.907943571049737486e+01 3.817661186160663245e-02 1.889968185914944754e-01 4.600000000000000000e+01 1.930231037603850064e+00 0.000000000000000000e+00 1.537862566491469962e-01 0.000000000000000000e+00
1.000000000000000000e+00 3.593685866024324826e-01 1.600056871810856887e-02 5.984686808074994424e+00 2.000000000000000000e+01 0.000000000000000000e+00 3.925209522793939243e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.122213143578027683e+01 1.000000000000000000e+00 1.082109046270080377e+01 0.000000000000000000e+00 8.196013446197750740e-01 -1.397959699054153113e-02 2.752487294518542171e+01 2.190899225122874827e-04 2.884869881454768858e+01 3.223683942921122814e+00 2.998016570865010000e-02 1.040339641339170385e+01 -1.000000000000000000e+00 7.653109330261676391e+00 1.397959699054153113e-02 2.204391433138133127e+00 1.419868691305381861e-02 3.094697242769280932e-01 -4.278580777233190191e-01 9.558228961649000224e-03 6.878556866538829695e-01 4.278580777233190191e-01 0.000000000000000000e+00 1.548912861697973042e+00 2.355669064823242969e+13 6.878556866538829695e-01 1.851000000000000000e+05 1.971129482989540747e+03 3.741644763190824108e+01 -2.190899225122874827e-04 1.470985044777865447e+01 1.256160996208628422e+00 -1.419868691305381861e-02 3.079043100000000166e+01 2.000000000000000000e+01 3.019926083525099891e-02 3.921463109558540050e-01 3.606192598241390046e-01 2.887524076604195500e+01 3.019925563116238748e-02 1.947940509359483430e-01 4.600000000000000000e+01 1.744474688771999920e-03 0.000000000000000000e+00 -7.812952255009529834e-01 0.000000000000000000e+00
2.000000000000000000e+00 3.367058202870486516e-01 -1.211158587109460172e-01 1.157948454874779959e-01 2.000000000000000000e+01 0.000000000000000000e+00 3.059123310339583313e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.889493783509971792e+01 1.000000000000000000e+00 7.153491126371376296e+00 0.000000000000000000e+00 6.082082597660183332e-01 -2.518141403715642990e-02 2.236569497794078742e+01 1.001359628210463093e-03 2.525697337813976162e+01 2.693424478049144977e+00 -9.593444467378958729e-02 5.334259725256072393e+00 -1.000000000000000000e+00 3.990601106315655233e+00 2.518141403715642990e-02 5.658893251047979467e-01 2.618277366536689299e-02 3.014430702998800449e-01 -6.162883616415589794e-01 -1.115472816744259993e-01 3.297980220700429954e-01 6.162883616415589794e-01 0.000000000000000000e+00 1.470620307699718410e+00 2.211722870168629297e+13 3.297980220700429954e-01 2.041000000000000000e+05 1.826974360658072101e+03 2.989635465177826745e+01 -1.001359628210463093e-03 9.562113223992374955e+00 1.264590563481322150e+00 -2.618277366536689299e-02 3.072737800000000163e+01 2.000000000000000000e+01 -9.493308840259299941e-02 1.648268855294324486e-01 2.111994832236289976e-01 2.288553894141537270e+01 -9.493308504557912419e-02 1.439665168838792919e-01 4.600000000000000000e+01 7.749284335984869543e-01 0.000000000000000000e+00 -1.554060401646039924e-01 0.000000000000000000e+00
2.000000000000000000e+00 3.187000931116149571e-01 -5.644296672478386206e-02 2.022245545148690093e-01 2.000000000000000000e+01 0.000000000000000000e+00 3.580783420499965075e+01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.256384223913980236e+01 1.000000000000000000e+00 8.363183386553917131e+00 0.000000000000000000e+00 6.472624912373604600e-01 -7.818975218379882464e-03 2.652204011751277335e+01 -3.090417778429527251e-03 2.975494086170944996e+01 3.803520505953299935e+00 -4.862399150640397960e-02 6.052893343290201678e+00 -1.000000000000000000e+00 4.590045435583269828e+00 7.818975218379882464e-03 2.538355585394036051e+00 4.728557439950355212e-03 2.413040243006000229e-01 -4.340902000202779831e-01 -6.838384511484800476e-02 4.019416933409710180e-01 4.340902000202779831e-01 0.000000000000000000e+00 1.884564367195341816e+00 2.198043817777713672e+13 4.019416933409710180e-01 3.685000000000000000e+05 1.714103900555671999e+03 3.497461677247408574e+01 3.090417778429527251e-03 1.102853071055816159e+01 1.327086967597841172e+00 -4.728557439950355212e-03 3.072117400000000131e+01 2.000000000000000000e+01 -5.171439838356899771e-02 2.606203318441047689e-01 2.034248151062350018e-01 2.715388767472306952e+01 -5.171440928483350685e-02 1.404643147313749396e-01 4.600000000000000000e+01 6.004034606003729735e+00 0.000000000000000000e+00 -6.936357633530949585e-01 0.000000000000000000e+00
